Quant Method,Filename,comp_method,soil_type,rs,treatment,env_rep,tech_rep,Sample Type,Area,Height,cali conc,calc conc,RT,SN
MUBph_315nm,CF_MB_H2O_6_2,CF,MB,MUBph,CF_MB,F,2,Sample,4673879.871,271306.5391,NA,0.463401164,5.056666667,2361.724786
MUBph_315nm,CF_MB_H2O_6_3,CF,MB,MUBph,CF_MB,F,3,Sample,3775494.1,142088.2811,NA,0.37432891,4.693333333,79.73263516
MUBph_315nm,CF_mc_H2O_1_1,CF,mc,MUBph,CF_mc,A,1,Sample,3948520.8,221069.4651,NA,0.391483988,4.863333333,2516.492937
MUBph_315nm,CF_mc_H2O_1_2,CF,mc,MUBph,CF_mc,A,2,Sample,3432856.044,202984.9191,NA,0.340357375,5.256666667,280.8117362
MUBph_315nm,CF_mc_H2O_1_3,CF,mc,MUBph,CF_mc,A,3,Sample,3105846.33,153163.0335,NA,0.307935343,4.63,98.39770574
MUBph_315nm,CF_mc_H2O_2_1,CF,mc,MUBph,CF_mc,B,1,Sample,3996694.943,327972.3067,NA,0.39626031,5.016666667,3276.630634
MUBph_315nm,CF_mc_H2O_2_2,CF,mc,MUBph,CF_mc,B,2,Sample,3733754.431,248909.2422,NA,0.370190547,5.28,552.7515483
MUBph_315nm,CF_mc_H2O_2_3,CF,mc,MUBph,CF_mc,B,3,Sample,3019224.005,194980.9564,NA,0.299347,4.7,114.2728168
MUBph_315nm,CF_mc_H2O_3_1,CF,mc,MUBph,CF_mc,C,1,Sample,4159030.525,256910.0045,NA,0.412355396,4.91,3947.219736
MUBph_315nm,CF_mc_H2O_3_2,CF,mc,MUBph,CF_mc,C,2,Sample,3560150.386,210791.3619,NA,0.352978227,5.27,319.1228775
MUBph_315nm,CF_mc_H2O_3_3,CF,mc,MUBph,CF_mc,C,3,Sample,2900602.508,131945.8919,NA,0.287586034,4.7,71.95448287
MUBph_315nm,CF_rc_H2O_1_1,CF,rc,MUBph,CF_rc,A,1,Sample,29555.42193,2898.523163,NA,0.002930331,4.656666667,12.75382359
MUBph_315nm,CF_rc_H2O_1_2,CF,rc,MUBph,CF_rc,A,2,Sample,6694.548768,734.991663,NA,0.000663744,5.09,2.541857096
MUBph_315nm,CF_rc_H2O_1_3,CF,rc,MUBph,CF_rc,A,3,Sample,1206.618605,150.907926,NA,0.000119633,4.476666667,0.572075879
MUBph_315nm,CF_rc_H2O_2_1,CF,rc,MUBph,CF_rc,B,1,Sample,19355.89255,1825.516108,NA,0.001919079,4.63,8.281639495
MUBph_315nm,CF_rc_H2O_2_2,CF,rc,MUBph,CF_rc,B,2,Sample,2458.179115,338.7602762,NA,0.000243721,5.113333333,1.363815399
MUBph_315nm,CF_rc_H2O_2_3,CF,rc,MUBph,CF_rc,B,3,Sample,1710.623588,135.5588243,NA,0.000169603,4.52,0.628690084
MUBph_315nm,CF_rc_H2O_3_1,CF,rc,MUBph,CF_rc,C,1,Sample,4328.527907,435.415178,NA,0.000429161,4.516666667,0.710317023
MUBph_315nm,CF_rc_H2O_3_2,CF,rc,MUBph,CF_rc,C,2,Sample,2563.111628,345.9435874,NA,0.000254125,4.943333333,1.286948951
MUBph_315nm,CF_rc_H2O_3_3,CF,rc,MUBph,CF_rc,C,3,Sample,NA,NA,NA,NA,NA,NA
MUBph_315nm,Reserpine_01,NA,NA,MUBph,QC,A,1,QC,NA,NA,NA,NA,NA,NA
MUBph_315nm,Reserpine_02,NA,NA,MUBph,QC,A,2,QC,NA,NA,NA,NA,NA,NA
MUBph_315nm,Reserpine_03,NA,NA,MUBph,QC,A,3,QC,NA,NA,NA,NA,NA,NA
MUBph_315nm,SH_fo_H2O_1_1,SH,fo,MUBph,SH_fo,A,1,Sample,2933292.4,200390.4591,NA,0.290827139,4.903333333,896.1697356
MUBph_315nm,SH_fo_H2O_1_2,SH,fo,MUBph,SH_fo,A,2,Sample,2630978.096,171457.3855,NA,0.260853583,5.09,666.4635131
MUBph_315nm,SH_fo_H2O_1_3,SH,fo,MUBph,SH_fo,A,3,Sample,1719220.929,69592.25658,NA,0.170455596,4.65,56.07438782
MUBph_315nm,SH_fo_H2O_2_1,SH,fo,MUBph,SH_fo,B,1,Sample,2997291.4,193133.3769,NA,0.297172448,4.856666667,3045.800894
MUBph_315nm,SH_fo_H2O_2_2,SH,fo,MUBph,SH_fo,B,2,Sample,2560937.644,165220.2054,NA,0.253909282,5.12,3594.09235
MUBph_315nm,SH_fo_H2O_2_3,SH,fo,MUBph,SH_fo,B,3,Sample,1935629.473,77650.53309,NA,0.191911854,4.566666667,63.19413757
MUBph_315nm,SH_fo_H2O_3_1,SH,fo,MUBph,SH_fo,C,1,Sample,2972123.064,163905.2799,NA,0.294677083,4.793333333,2455.409716
MUBph_315nm,SH_fo_H2O_3_2,SH,fo,MUBph,SH_fo,C,2,Sample,2616389.845,172077.8702,NA,0.259407202,5.163333333,569.1571083
MUBph_315nm,SH_fo_H2O_3_3,SH,fo,MUBph,SH_fo,C,3,Sample,1708519.899,71860.87526,NA,0.169394621,4.636666667,44.03120574
MUBph_315nm,SH_gs_H2O_1_1,SH,gs,MUBph,SH_gs,A,1,Sample,1919019.8,127743.6469,NA,0.190265054,4.786666667,1225.589675
MUBph_315nm,SH_gs_H2O_1_2,SH,gs,MUBph,SH_gs,A,2,Sample,1087196.758,67464.19663,NA,0.107792296,5.176666667,69.02466067
MUBph_315nm,SH_gs_H2O_1_3,SH,gs,MUBph,SH_gs,A,3,Sample,667021.9565,27255.67818,NA,0.066133225,4.56,18.29843311
MUBph_315nm,SH_gs_H2O_2_1,SH,gs,MUBph,SH_gs,B,1,Sample,1750058.8,114118.2291,NA,0.173513078,4.746666667,2551.098458
MUBph_315nm,SH_gs_H2O_2_2,SH,gs,MUBph,SH_gs,B,2,Sample,1375127.787,90610.23823,NA,0.136339794,5.056666667,181.9197421
MUBph_315nm,SH_gs_H2O_2_3,SH,gs,MUBph,SH_gs,B,3,Sample,675213,24447.18472,NA,0.066945343,4.313333333,5.189710964
MUBph_315nm,SH_gs_H2O_3_1,SH,gs,MUBph,SH_gs,C,1,Sample,1629144.701,97050.24333,NA,0.161524808,4.77,602.3463211
MUBph_315nm,SH_gs_H2O_3_2,SH,gs,MUBph,SH_gs,C,2,Sample,925008.9342,51539.05382,NA,0.09171186,5.166666667,50.57685393
MUBph_315nm,SH_gs_H2O_3_3,SH,gs,MUBph,SH_gs,C,3,Sample,541173.6146,25552.47139,NA,0.05365574,4.566666667,3.889084173
MUBph_315nm,SH_kc_H2O_1_1,SH,kc,MUBph,SH_kc,A,1,Sample,756166.3419,56374.40526,NA,0.074971624,4.59,206.5471282
MUBph_315nm,SH_kc_H2O_1_2,SH,kc,MUBph,SH_kc,A,2,Sample,646578.5957,50332.60921,NA,0.064106327,4.956666667,572.4452552
MUBph_315nm,SH_kc_H2O_1_3,SH,kc,MUBph,SH_kc,A,3,Sample,500064.8,18430.36422,NA,0.049579924,4.066666667,16.63796743
MUBph_315nm,SH_kc_H2O_2_1,SH,kc,MUBph,SH_kc,B,1,Sample,804383.4561,57819.83593,NA,0.079752206,4.626666667,174.3622302
MUBph_315nm,SH_kc_H2O_2_2,SH,kc,MUBph,SH_kc,B,2,Sample,638050.6425,50952.60615,NA,0.063260806,5.056666667,348.4585494
